#period	period time	calc time
1	997	1494
2	2245	1244
3	1999	1491
4	2260	2483
5	3231	1499
6	1998	1749
7	1006	1242
8	2002	1747
9	2500	2248
10	993	1259
11	758	1001
12	1002	1501
13	2506	1242
14	996	1251
15	750	1500
16	1000	1258
17	758	1506
18	2254	1503
19	998	1254
20	993	1002
21	998	752
22	999	1254
23	758	1502
24	2250	1511
25	2248	1250
26	750	1517
27	2259	1507
28	2245	1250
29	998	752
30	999	751
31	1012	1004
32	999	752
33	754	1259
34	749	1499
35	749	750
36	1005	751
37	994	753
38	999	751
39	995	751
40	998	750
41	1000	1250
42	996	1255
43	994	1255
44	994	1504
45	2242	1245
46	995	1262
47	991	1250
48	744	1250
49	756	1246
50	2005	1502
51	995	1243
52	2250	1248
53	746	1250
54	2002	1502
55	996	1488
56	2238	1251
57	1999	1256
58	993	1251
59	1001	1254
60	994	1253
61	2003	1246
62	998	1249
63	998	753
64	1005	755
65	994	1506
66	995	751
67	1000	1505
68	2253	1242
69	744	1502
70	2247	1501
71	2246	1245
72	756	1255
73	994	1249
74	740	1497
75	999	1252
76	994	1495
77	994	1506
78	745	1250
79	999	741
80	495	1261
81	1003	1499
82	999	1001
83	1006	1260
84	999	1251
85	999	1250
86	1000	999
87	998	1004
88	744	1501
89	2254	1246
90	1001	994
91	1000	749
92	994	1502
93	748	1247
94	748	1501
95	2251	1502
96	998	1250
97	997	1254
98	748	1500
99	997	1000
100	1000	1250
101	995	1250
102	994	1499
103	994	1250
104	749	1506
105	2254	1496
106	1000	995
107	999	751
108	999	1502
109	748	1253
110	991	1244
111	996	1504
112	994	1250
113	993	1245
114	998	752
115	995	756
116	1000	746
117	994	753
118	749	1251
119	749	1250
120	993	1260
121	749	1250
122	994	1249
123	1996	1245
124	995	1000
125	997	756
126	999	746
127	1504	752
128	995	749
129	999	751
130	1000	760
131	1001	750
132	1000	752
133	998	1250
134	996	751
135	997	748
136	999	1506
137	2247	1253
138	749	1001
139	1748	1504
140	2244	1247
141	1006	1260
142	994	1250
143	2005	1500
144	1001	751
145	998	1250
146	994	1253
147	2002	1246
148	996	750
149	999	1251
150	1000	1253
151	2003	1248
152	1000	745
153	499	1492
154	749	1504
155	2250	1258
156	2008	1507
157	2251	1492
158	750	1259
159	994	1250
160	1005	1253
161	749	1502
162	999	1506
163	996	1505
164	2243	1250
165	761	1248
166	1987	1259
167	747	1497
168	2249	1250
169	749	1256
170	998	1500
171	2249	1502
172	2257	1245
173	761	1503
174	2002	1498
175	2248	1235
176	749	1250
177	2002	1258
178	2260	1487
179	742	1251
180	997	1253
181	994	1251
182	992	1492
183	996	998
184	999	1494
185	999	752
186	1000	1251
187	2253	1487
188	998	752
189	999	1253
190	834	1420
191	2162	1248
192	999	753
193	999	1251
194	2249	1249
195	997	1001
196	746	1000
197	748	1251
198	750	1506
199	2252	1498
200	2249	1246
201	999	751
202	1001	750
203	998	751
204	999	751
205	997	749
206	999	1252
207	1008	1250
208	1997	1252
209	2247	1252
210	750	1249
211	1000	1251
212	498	1505
213	752	1248
214	754	1272
215	1990	1500
216	2248	1522
217	2260	1749
218	748	1254
219	999	752
220	1000	1250
221	1002	1251
222	2303	1194
223	992	1250
224	2248	1250
225	999	1260
226	1999	1245
227	998	1000
228	999	741
229	759	1249
230	2004	1502
231	749	1251
232	993	1251
233	992	1240
234	748	1262
235	991	749
236	749	753
237	998	1250
238	748	1250
239	1993	1519
240	1002	1252
241	1000	750
242	999	747
243	999	1250
244	2248	1251
245	749	1250
246	2004	1501
247	751	1249
248	994	1501
249	999	1499
250	2248	1264
251	2009	1254
252	2004	1505
253	2242	1500
254	999	1256
255	747	1251
256	1007	1505
257	998	751
258	999	1001
259	1000	1255
260	999	1251
261	1003	1250
262	1000	750
263	495	1244
264	750	1249
265	2008	1506
266	998	750
267	749	1500
268	2250	1249
269	2247	1500
270	998	1250
271	751	1252
272	1994	1493
273	995	1260
274	999	752
275	750	999
276	998	1251
277	749	1491
278	2240	1249
279	2251	1259
280	991	1252
281	747	1501
282	999	748
283	1001	1249
284	2746	1499
285	2239	1249
286	2248	1249
287	998	1255
288	1000	753
289	498	1251
290	751	1250
291	500	1250
292	2000	1502
293	2253	1494
294	749	1000
295	1006	1254
296	998	1248
297	998	1251
298	1001	1255
299	2001	1499
300	2236	1761
301	994	1259
302	997	1250
303	1009	748
304	994	747
305	1502	745
306	750	1504
307	2248	1505
308	2248	1250
309	996	1002
310	999	752
311	999	1250
312	996	1250
313	999	1239
314	747	1256
315	754	1249
316	1001	1506
317	997	758
318	1000	757
319	745	771
320	998	1300
321	1989	1270
322	999	752
323	749	1003
324	1248	1252
325	1990	1249
326	999	1259
327	2010	1251
328	996	1251
329	990	1251
330	995	1248
331	2002	1247
332	1000	750
333	999	760
334	995	751
335	996	751
336	998	742
337	1007	1250
338	995	750
339	998	1252
340	998	1250
341	1991	1258
342	747	1251
343	753	1492
344	1003	1495
345	1001	1251
346	2000	1254
347	999	1253
348	992	1250
349	991	1251
350	1998	1252
351	749	1251
352	997	1250
353	750	1250
354	1989	1521
355	991	1516
356	1008	740
357	993	750
358	996	750
359	745	756
360	1504	752
361	749	1508
362	2253	1247
363	742	1508
364	2257	1500
365	997	1250
366	497	1252
367	999	1262
368	993	1251
369	498	1251
370	993	1251
371	998	751
372	1000	1249
373	1007	1240
374	1994	1246
375	2248	1507
376	997	1257
377	999	1005
378	998	1248
379	754	1246
380	2002	1501
381	998	760
382	995	748
383	748	1508
384	2254	1499
385	2250	1245
386	995	751
387	998	750
388	750	1002
389	998	750
390	499	1241
391	750	1260
392	995	1260
393	744	1500
394	755	1244
395	997	748
396	998	757
397	1006	750
398	999	747
399	996	750
400	989	749
401	994	750
402	994	1001
403	996	750
404	749	1001
405	999	753
406	999	748
407	999	1254
408	2005	1493
409	2248	1242
410	748	751
411	997	748
412	998	752
413	999	751
414	998	501
415	749	1252
416	997	1248
417	2003	1504
418	995	752
419	999	1256
420	2000	1245
421	995	1249
422	1999	1262
423	2262	1485
424	999	1256
425	998	1506
426	995	1507
427	994	1257
428	2003	1503
429	742	1258
430	744	1251
431	995	997
432	996	1257
433	1006	1506
