#signal	response time
0	782
1	984
2	1182
3	1422
4	1172
5	1172
6	931
7	927
8	1179
9	1425
10	1179
11	929
12	929
13	1679
14	1183
15	927
16	929
17	1180
18	1684
19	1169
20	1183
21	1174
22	931
23	926
24	928
25	1181
26	930
27	1186
28	1669
29	1172
30	936
31	927
32	1683
33	1930
34	1180
35	928
36	926
37	1676
38	1930
39	1671
40	1426
41	1177
42	1193
43	1162
44	1210
45	1178
46	1178
47	934
48	1170
49	1181
50	929
51	928
52	1676
53	1179
54	922
55	925
56	1184
57	1677
58	936
59	1171
60	934
61	1433
62	1188
63	1186
64	932
65	1934
66	1917
67	1678
68	1932
69	1675
70	1178
71	928
72	1179
73	926
74	966
75	925
76	931
77	1177
78	1426
79	1673
80	1177
81	1174
82	1177
83	1177
84	1176
85	1926
86	1927
87	1924
88	1174
89	1181
90	1170
91	1187
92	915
93	1176
94	1187
95	1180
96	1175
97	1927
98	1928
99	1929
100	1177
101	1176
102	1425
103	930
104	1927
105	1177
106	1173
107	918
108	1187
109	1426
110	1678
111	1676
112	1178
113	1175
114	1171
115	1428
116	1176
117	1175
118	934
119	929
120	1174
121	1183
122	1172
123	1175
124	928
125	925
126	1180
127	1180
128	1178
129	923
130	1180
131	1177
132	1412
133	1187
134	1174
135	1182
136	1174
137	920
138	1179
139	1179
140	1680
141	1921
142	1674
143	1174
144	1176
145	933
146	920
147	933
148	928
149	925
150	933
151	938
152	917
153	967
154	1672
155	1923
156	1926
157	1177
158	1178
159	1181
160	1166
161	1185
162	1919
163	1676
164	1926
165	1925
166	1674
167	1926
168	1923
169	1171
170	944
171	922
172	1171
173	928
174	1173
175	1219
